"","Stations_id","Stationsname","geograph.Breite","geograph.Laenge","Stationshoehe","Naturraumgruppe","Naturraum","Datum.Stationsaufloesung","Bundesland","eor"
"1",3,"Aachen                                     ",50.7827,6.0941,202,"Vennvorland                                                                     ","Aachener Hügelland                                                              ","27.02.2011             ","Nordrhein-Westfalen                     ","eor"
"2",98,"Altastenberg                               ",51.189,8.4671,780,"Bergisch-Sauerländisches Gebirge                                                ","Hochsauerland (Rothaargebirge)                                                  ","                       ","Nordrhein-Westfalen                     ","eor"
"3",140,"Altmersleben                               ",52.6861,11.4272,35,"Altmark                                                                         ","Stendaler Land                                                                  ","                       ","Sachsen-Anhalt                          ","eor"
"4",164,"Angermünde                                 ",53.0316,13.9907,54,"Rückland der Mecklenburgischen Seenplatte                                       ","Uckermärkisches Hügelland (mit Uecker- und Randowtal)                           ","                       ","Brandenburg                             ","eor"
"5",183,"Arkona                                     ",54.6792,13.4343,42,"Mecklenburgisch-Vorpommersches Küstengebiet                                     ","Höhen- und Binnenbodden von Nordrügen                                           ","                       ","Mecklenburg-Vorpommern                  ","eor"
"6",198,"Artern                                     ",51.3745,11.292,164,"Thüringer Becken und Randplatten Nrg 48                                         ","Helme-Unstrut-Niederung                                                         ","                       ","Thüringen                               ","eor"
"7",222,"Aue                                        ",50.5907,12.714,387,"Erzgebirge                                                                      ","Unteres Westerzgebirge                                                          ","31.12.2011             ","Sachsen                                 ","eor"
"8",279,"Baltmannsweiler-Hohengehren                ",48.7573,9.4514,457,"Schwäbisches Keuper-Lias-Land                                                   ","Schurwald und Welzheimer Wald                                                   ","                       ","Baden-Württemberg                       ","eor"
"9",282,"Bamberg                                    ",49.8742,10.9206,240,"Fränkisches Keuper-Lias-Land                                                    ","Itz-Baunach-Hügelland                                                           ","30.09.2008             ","Bayern                                  ","eor"
"10",501,"Birx                                       ",50.5296,10.0485,739,"Osthessisches Bergland                                                          ","Unteres Werratal                                                                ","                       ","Thüringen                               ","eor"
"11",524,"Bitterfeld                                 ",51.6333,12.3167,80,"Elbe-Mulde-Tiefland                                                             ","Dahlen-Dübener Heide                                                            ","31.12.1974             ","Sachsen-Anhalt                          ","eor"
"12",554,"Bocholt                                    ",51.8297,6.5354,21,"Niederrheinisches Tiefland                                                      ","Isselebene                                                                      ","                       ","Nordrhein-Westfalen                     ","eor"
"13",591,"Boizenburg                                 ",53.3911,10.6878,45,"Südwestliches Vorland der Mecklenburgischenseenplatte                           ","Südwestmecklenburgische Niederungen (mit Sanderflächen und Lehmplatten)         ","                       ","Mecklenburg-Vorpommern                  ","eor"
"14",596,"Boltenhagen                                ",54.0028,11.1908,15,"Mecklenburgisch-Vorpommersches Küstengebiet                                     ","Nordwestmecklenburgisches Hügelland und Wismarbucht                             ","                       ","Mecklenburg-Vorpommern                  ","eor"
"15",603,"Bonn-Roleber                               ",50.7349,7.1931,159,"Niederrheinische Bucht                                                          ","Köln-Bonner Rheinebene                                                          ","31.12.2000             ","Nordrhein-Westfalen                     ","eor"
"16",640,"Limbach-Oberfrohna-Bräunsdorf              ",50.8685,12.7237,345,"Erzgebirgsvorland                                                               ","Mittelsächsisches Lößlehmhügelland                                              ","31.12.2012             ","Sachsen                                 ","eor"
"17",662,"Braunschweig                               ",52.2914,10.4465,81,"Weser-Aller-Flachland                                                           ","Burgdorf-Peiner Geestplatten                                                    ","                       ","Niedersachsen                           ","eor"
"18",717,"Brilon                                     ",51.3873,8.5737,443,"Bergisch-Sauerländisches Gebirge                                                ","Nordsauerländer Oberland                                                        ","                       ","Nordrhein-Westfalen                     ","eor"
"19",722,"Brocken                                    ",51.7986,10.6183,1134,"Harz                                                                            ","Mittelharz                                                                      ","                       ","Sachsen-Anhalt                          ","eor"
"20",729,"Brotterode                                 ",50.8282,10.454,600,"Thüringisch-Fränkisches Mittelgebirge                                           ","Thüringer Wald                                                                  ","                       ","Thüringen                               ","eor"
"21",735,"Brück-Gömnigk                              ",52.1692,12.7334,52,"Mittelbrandenburgische Platten und Niederungen                                  ","Baruther Tal (mit Fiener Bucht)                                                 ","31.12.2011             ","Brandenburg                             ","eor"
"22",821,"Burk-Meierndorf                            ",49.1443,10.5024,436,"Fränkisches Keuper-Lias-Land                                                    ","Mittelfränkisches Becken                                                        ","31.12.2012             ","Bayern                                  ","eor"
"23",822,"Burkau-Kleinhänchen                        ",51.2066,14.2371,205,"Oberlausitz                                                                     ","Lausitzer Gefilde                                                               ","31.12.2007             ","Sachsen                                 ","eor"
"24",853,"Chemnitz                                   ",50.7913,12.872,418,"Erzgebirgsvorland                                                               ","Erzgebirgisches Becken                                                          ","                       ","Sachsen                                 ","eor"
"25",880,"Cottbus                                    ",51.776,14.3168,69,"Spreewald                                                                       ","Cottbuser Schwemmsandfächer                                                     ","                       ","Brandenburg                             ","eor"
"26",882,"Crawinkel                                  ",50.7813,10.786,469,"Thüringer Becken und Randplatten Nrg 47                                         ","Ilm-Saale- und Ohrdrufer Platte                                                 ","31.12.2013             ","Thüringen                               ","eor"
"27",891,"Cuxhaven                                   ",53.8713,8.7058,5,"Unterelbeniederung                                                              ","Stader Elbmarschen                                                              ","                       ","Niedersachsen                           ","eor"
"28",963,"Diepholz                                   ",52.5881,8.3424,39,"Dümmer-Geestniederung                                                           ","Diepholzer Moorniederung                                                        ","                       ","Niedersachsen                           ","eor"
"29",1048,"Dresden-Klotzsche                          ",51.128,13.7543,227,"Sächsisches Hügelland (einschließlich Leipziger Land)                           ","Lausitzer Platte                                                                ","                       ","Sachsen                                 ","eor"
"30",1078,"Düsseldorf                                 ",51.296,6.7686,37,"Niederrheinisches Tiefland                                                      ","Mittlere Niederrheinebene                                                       ","31.01.2006             ","Nordrhein-Westfalen                     ","eor"
"31",1133,"Eggenstedt                                 ",52.1014,11.2322,170,"Nördliches Harzvorland                                                          ","Großes Bruch                                                                    ","                       ","Sachsen-Anhalt                          ","eor"
"32",1246,"Ennigerloh-Ostenfelde                      ",51.88,8.073,78,"Westfälische Tieflandsbucht                                                     ","Kernmünsterland                                                                 ","31.12.2009             ","Nordrhein-Westfalen                     ","eor"
"33",1329,"Eutin                                      ",54.134,10.5865,50,"Schleswig-Holsteinisches Hügelland                                              ","Ostholsteinisches Hügel- und Seenland                                           ","31.12.1990             ","Schleswig-Holstein                      ","eor"
"34",1346,"Feldberg/Schwarzwald                       ",47.8749,8.0038,1490,"Schwarzwald                                                                     ","Südlicher Hochflächen-Schwarzwald                                               ","                       ","Baden-Württemberg                       ","eor"
