"par","value","job_id","repetition","cultivar","counts","control.maxtime","date","start.time","end.time","run.time","rss","par.start","par.upper","par.lower"
"yc",36.7430547075321,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,24.79,80,20
"zc",266.582269583422,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,337.04,500,100
"s1",0.254792624534354,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,0.2529,1,0.1
"Tu",17.7376088584645,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,17.72,30,15
"theta_c",284.630140129616,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,285.54,287,284
"tau",47.3278879219322,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,45.67,48,16
"piec",47.0820197366795,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,29.49,50,24
"Tf",4.82623989529418,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,2.97,10,2
"Tb",6.73484577426529,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,1.87,10,2
"slope",1.24751358006182,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,2.69,5,1.2
"theta_star",279,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,279,279,279
"Tc",36,17,7,"late",11855,12600,2025-01-24,14:46:15,18:16:49,03:30:34,452892.503472222,36,36,36
"yc",44.7251707806576,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,24.79,80,20
"zc",254.72793653099,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,337.04,500,100
"s1",0.161682716248814,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,0.2529,1,0.1
"Tu",17.7124041796289,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,17.72,30,15
"theta_c",284.542053277613,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,285.54,287,284
"tau",47.379886570133,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,45.67,48,16
"piec",47.1729576600998,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,29.49,50,24
"Tf",2.5792674659656,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,2.97,10,2
"Tb",6.71129363150138,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,1.87,10,2
"slope",1.25519387099691,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,2.69,5,1.2
"theta_star",279,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,279,279,279
"Tc",36,19,9,"late",14341,12600,2025-01-24,14:46:15,18:16:50,03:30:35,273427.123263889,36,36,36
"yc",36.0512315597231,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,24.79,80,20
"zc",263.499410106663,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,337.04,500,100
"s1",0.227206238366756,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,0.2529,1,0.1
"Tu",17.6361198238614,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,17.72,30,15
"theta_c",284.60508297107,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,285.54,287,284
"tau",47.884650570837,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,45.67,48,16
"piec",47.1461920363291,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,29.49,50,24
"Tf",5.27114851449138,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,2.97,10,2
"Tb",6.55821443236395,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,1.87,10,2
"slope",1.26576982629912,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,2.69,5,1.2
"theta_star",279,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,279,279,279
"Tc",36,18,8,"late",13080,12600,2025-01-24,14:46:15,18:16:50,03:30:35,213593.217013889,36,36,36
"yc",40.0580021524514,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,24.79,80,20
"zc",198.310580224743,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,337.04,500,100
"s1",0.198365174322234,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,0.2529,1,0.1
"Tu",24.697549727653,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,17.72,30,15
"theta_c",284.477010799172,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,285.54,287,284
"tau",47.2592103067609,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,45.67,48,16
"piec",47.8493247562184,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,29.49,50,24
"Tf",4.12698778276479,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,2.97,10,2
"Tb",3.99392257207058,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,1.87,10,2
"slope",1.23901304855073,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,2.69,5,1.2
"theta_star",279,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,279,279,279
"Tc",36,9,9,"early",13335,12600,2025-01-24,14:46:16,18:16:50,03:30:34,293823.366319444,36,36,36
"yc",44.4529295641191,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,24.79,80,20
"zc",251.347008102211,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,337.04,500,100
"s1",0.775690408927174,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,0.2529,1,0.1
"Tu",26.3542770132128,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,17.72,30,15
"theta_c",285.19950096365,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,285.54,287,284
"tau",43.9391526701545,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,45.67,48,16
"piec",42.8563066911322,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,29.49,50,24
"Tf",4.35066214069269,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,2.97,10,2
"Tb",2.18026812433073,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,1.87,10,2
"slope",1.30265085405759,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,2.69,5,1.2
"theta_star",279,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,279,279,279
"Tc",36,6,6,"early",14120,12600,2025-01-24,14:46:16,18:16:51,03:30:35,447900.772569444,36,36,36
"yc",44.4349378907673,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,24.79,80,20
"zc",248.59704972061,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,337.04,500,100
"s1",0.218672488366815,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,0.2529,1,0.1
"Tu",17.2685503611002,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,17.72,30,15
"theta_c",285.820273320502,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,285.54,287,284
"tau",47.7504346072526,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,45.67,48,16
"piec",44.9828152210998,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,29.49,50,24
"Tf",4.11273354482281,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,2.97,10,2
"Tb",6.57272920917119,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,1.87,10,2
"slope",1.6512302154504,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,2.69,5,1.2
"theta_star",279,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,279,279,279
"Tc",36,4,4,"early",12084,12600,2025-01-24,14:46:16,18:16:51,03:30:35,462040.564236111,36,36,36
"yc",50.4160894326957,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,24.79,80,20
"zc",237.198013504664,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,337.04,500,100
"s1",0.936649850535719,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,0.2529,1,0.1
"Tu",26.1471922984927,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,17.72,30,15
"theta_c",285.570986162434,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,285.54,287,284
"tau",44.8381435776943,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,45.67,48,16
"piec",42.2442834591376,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,29.49,50,24
"Tf",2.88564830259219,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,2.97,10,2
"Tb",2.55644688399504,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,1.87,10,2
"slope",1.70532091646323,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,2.69,5,1.2
"theta_star",279,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,279,279,279
"Tc",36,5,5,"early",14330,12600,2025-01-24,14:46:16,18:16:51,03:30:35,323577.946180556,36,36,36
"yc",51.9861191759393,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,24.79,80,20
"zc",281.43651459824,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,337.04,500,100
"s1",0.34984368413076,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,0.2529,1,0.1
"Tu",24.3063426867863,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,17.72,30,15
"theta_c",285.979884165532,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,285.54,287,284
"tau",45.1304658705621,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,45.67,48,16
"piec",41.417134048686,2,2,"early",13208,12600,2025-01-24,14:46:16,18:17:08,03:30:52,504308.378472222,29.49,50,24
